1540450842.935652000	78	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450842.936116000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450842.939775000	66	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450842.940103000	81	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450842.964058000	69	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450843.000117000	66	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450843.003008000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450843.010196000	80	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450843.010655000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450843.100197000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.24.43.67	17734	80											
1540450843.100703000	86	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108	17734	80			3	0							
1540450843.102149000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.25.66.250	18261	8280											
1540450843.102649000	86	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108	18261	8280			3	0							
1540450843.138336000	117	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1543	53									
1540450843.140144000	84	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1544	53									
1540450843.140966000	117	4c:09:d4:c6:12:7b	00:16:6c:7f:82:20	192.168.2.1	192.168.2.115			53	1543									
1540450843.172659000	60	48:02:2e:01:83:15	ff:ff:ff:ff:ff:ff									1	48:02:2e:01:83:15	192.168.2.109	00:00:00:00:00:00	192.168.2.106		
1540450843.488938000	105	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1545	53									
1540450843.491079000	105	4c:09:d4:c6:12:7b	00:16:6c:7f:82:20	192.168.2.1	192.168.2.115			53	1545									
1540450843.524879000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.25.66.250	18261	8280											
1540450843.524920000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.24.43.67	17734	80											
1540450843.525354000	86	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108	18261	8280			3	0							
1540450843.525635000	86	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108	17734	80			3	0							
1540450843.608818000	77	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1545	53									
1540450843.772040000	98	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	192.168.2.1					8	0							
1540450843.772477000	98	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113					0	0							
1540450843.800753000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450843.800892000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450843.800915000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450843.800917000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450843.801043000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450843.921685000	74	40:8d:5c:4b:99:1d	3c:33:00:98:ee:fd	192.168.2.101	192.168.2.110					8	0							
1540450843.923649000	74	3c:33:00:98:ee:fd	40:8d:5c:4b:99:1d	192.168.2.110	192.168.2.101					0	0							
1540450844.046597000	75	50:c7:bf:1c:9c:a6	4c:09:d4:c6:12:7b	192.168.2.121	192.168.2.1			36368	53									
1540450844.052583000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.25.66.250	18261	8280											
1540450844.054609000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.24.43.67	17734	80											
1540450844.139844000	84	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1538	53									
1540450844.190609000	60	48:02:2e:01:83:15	ff:ff:ff:ff:ff:ff									1	48:02:2e:01:83:15	192.168.2.109	00:00:00:00:00:00	192.168.2.106		
1540450844.255622000	74	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	42.99.254.162	59603	80											
1540450844.255685000	74	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	203.69.81.91	56492	80											
1540450844.256145000	102	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113	59603	80			3	0							
1540450844.256401000	102	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113	56492	80			3	0							
1540450844.289237000	74	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	61.220.62.219	44861	80											
1540450844.297490000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450844.297654000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450844.297655000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450844.297657000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450844.297658000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450844.297993000	110	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108			32761	10240	3	0							
1540450844.544243000	76	3c:33:00:98:ee:fd	4c:09:d4:c6:12:7b	192.168.2.110	192.168.2.1			58975	53									
1540450844.581525000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.25.66.250	18261	8280											
1540450844.581588000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.24.43.67	17734	80											
1540450844.742371000	60	00:14:1c:28:d6:06	01:80:c2:00:00:00															
1540450844.772734000	98	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	192.168.2.1					8	0							
1540450844.773189000	98	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113					0	0							
1540450844.773980000	80	50:c7:bf:1c:9c:c6	4c:09:d4:c6:12:7b	192.168.2.122	192.168.2.1			43905	53									
1540450844.777839000	60	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b									1	34:c3:d2:e0:fc:c9	192.168.2.113	00:00:00:00:00:00	192.168.2.1		
1540450844.778118000	60	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9									2	4c:09:d4:c6:12:7b	192.168.2.1	34:c3:d2:e0:fc:c9	192.168.2.113		
1540450844.799573000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450844.799748000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450844.799749000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450844.799751000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450844.799752000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450844.929323000	74	40:8d:5c:4b:99:1d	3c:33:00:98:ee:fd	192.168.2.101	192.168.2.110					8	0							
1540450844.936670000	74	3c:33:00:98:ee:fd	40:8d:5c:4b:99:1d	192.168.2.110	192.168.2.101					0	0							
1540450844.949234000	86	4c:09:d4:c6:12:7b	33:33:00:00:00:01														fe80::1	ff02::1
1540450845.144478000	117	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1546	53									
1540450845.145117000	84	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1547	53									
1540450845.146766000	117	4c:09:d4:c6:12:7b	00:16:6c:7f:82:20	192.168.2.1	192.168.2.115			53	1546									
1540450845.175861000	60	48:02:2e:01:83:15	ff:ff:ff:ff:ff:ff									1	48:02:2e:01:83:15	192.168.2.109	00:00:00:00:00:00	192.168.2.106		
1540450845.297013000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450845.297179000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450845.297180000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450845.297182000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450845.297183000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450845.297532000	110	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108			32761	10240	3	0							
1540450845.376596000	90	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	202.120.2.100			123	123									
1540450845.377077000	118	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113			123	123	3	0							
1540450845.787900000	98	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	192.168.2.1					8	0							
1540450845.788341000	98	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113					0	0							
1540450845.798562000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450845.798729000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450845.798730000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450845.798732000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450845.798733000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450845.936372000	74	40:8d:5c:4b:99:1d	3c:33:00:98:ee:fd	192.168.2.101	192.168.2.110					8	0							
1540450845.939669000	74	3c:33:00:98:ee:fd	40:8d:5c:4b:99:1d	192.168.2.110	192.168.2.101					0	0							
1540450846.139364000	84	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1542	53									
1540450846.172641000	60	48:02:2e:01:83:15	ff:ff:ff:ff:ff:ff									1	48:02:2e:01:83:15	192.168.2.109	00:00:00:00:00:00	192.168.2.106		
1540450846.297036000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450846.297040000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450846.297210000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450846.297211000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450846.297594000	110	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108			32761	10240	3	0							
1540450846.297842000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450846.438557000	75	dc:20:08:3a:eb:e8	4c:09:d4:c6:12:7b	192.168.2.111	192.168.2.1			60494	53									
1540450846.492091000	70	3c:33:00:98:ee:fd	4c:09:d4:c6:12:7b	192.168.2.110	114.114.114.114			38343	53									
1540450846.492549000	98	4c:09:d4:c6:12:7b	3c:33:00:98:ee:fd	192.168.2.1	192.168.2.110			38343	53	3	0							
1540450846.743370000	60	00:14:1c:28:d6:06	01:80:c2:00:00:00															
1540450846.776255000	98	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	192.168.2.1					8	0							
1540450846.776758000	98	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113					0	0							
1540450846.798593000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450846.798745000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450846.798747000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450846.798748000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450846.798750000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450846.848210000	67	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450846.851450000	66	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450846.853466000	67	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450846.853913000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450846.929242000	60	00:ec:04:56:93:03	4c:09:d4:c6:12:7b									1	00:ec:04:56:93:03	192.168.2.126	00:00:00:00:00:00	192.168.2.1		
1540450846.929511000	60	4c:09:d4:c6:12:7b	00:ec:04:56:93:03									2	4c:09:d4:c6:12:7b	192.168.2.1	00:ec:04:56:93:03	192.168.2.126		
1540450846.955716000	74	40:8d:5c:4b:99:1d	3c:33:00:98:ee:fd	192.168.2.101	192.168.2.110					8	0							
1540450846.958159000	76	48:02:2e:01:83:15	4c:09:d4:c6:12:7b	192.168.2.109	192.168.2.1			52314	53									
1540450846.984654000	73	3c:33:00:98:ee:fd	4c:09:d4:c6:12:7b	192.168.2.110	114.114.114.114			37431	53									
1540450846.985101000	101	4c:09:d4:c6:12:7b	3c:33:00:98:ee:fd	192.168.2.1	192.168.2.110			37431	53	3	0							
1540450847.038727000	83	3c:33:00:98:ee:fd	4c:09:d4:c6:12:7b	192.168.2.110	114.114.114.114			55688	53									
1540450847.038809000	74	3c:33:00:98:ee:fd	40:8d:5c:4b:99:1d	192.168.2.110	192.168.2.101					0	0							
1540450847.039204000	111	4c:09:d4:c6:12:7b	3c:33:00:98:ee:fd	192.168.2.1	192.168.2.110			55688	53	3	0							
1540450847.142549000	117	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1548	53									
1540450847.144743000	117	4c:09:d4:c6:12:7b	00:16:6c:7f:82:20	192.168.2.1	192.168.2.115			53	1548									
1540450847.150451000	84	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1549	53									
1540450847.173011000	60	48:02:2e:01:83:15	ff:ff:ff:ff:ff:ff									1	48:02:2e:01:83:15	192.168.2.109	00:00:00:00:00:00	192.168.2.106		
1540450847.183926000	67	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450847.187211000	67	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450847.187667000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450847.297095000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450847.297256000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450847.297258000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450847.297259000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450847.297377000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450847.297561000	110	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108			32761	10240	3	0							
1540450847.321976000	75	e0:b9:4d:08:71:23	4c:09:d4:c6:12:7b	192.168.2.112	192.168.2.1			54679	53									
1540450847.377189000	90	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	202.120.2.100			123	123									
1540450847.377716000	118	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113			123	123	3	0							
1540450847.520200000	67	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450847.522509000	67	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450847.522946000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450847.700075000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.25.66.250	17442	8280											
1540450847.700078000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.24.43.67	17997	80											
1540450847.744221000	67	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450847.747116000	67	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450847.747584000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450847.774202000	98	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	192.168.2.1					8	0							
1540450847.774703000	98	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113					0	0							
1540450847.797805000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	50.19.254.134			32761	10240									
1540450847.797969000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.248.234.207			32761	10240									
1540450847.797971000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	46.137.188.54			32761	10240									
1540450847.797972000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	122.226.84.253			32761	10240									
1540450847.797974000	82	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	61.188.37.216			32761	10240									
1540450847.892339000	78	48:02:2e:01:83:15	4c:09:d4:c6:12:7b	192.168.2.109	192.168.2.1			59384	53									
1540450847.962570000	74	40:8d:5c:4b:99:1d	3c:33:00:98:ee:fd	192.168.2.101	192.168.2.110					8	0							
1540450847.965869000	74	3c:33:00:98:ee:fd	40:8d:5c:4b:99:1d	192.168.2.110	192.168.2.101					0	0							
1540450848.112132000	67	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450848.139213000	84	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1544	53									
1540450848.154497000	67	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450848.155008000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450848.173822000	60	48:02:2e:01:83:15	ff:ff:ff:ff:ff:ff									1	48:02:2e:01:83:15	192.168.2.109	00:00:00:00:00:00	192.168.2.106		
1540450848.199217000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.24.43.67	17997	80											
1540450848.199297000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.25.66.250	17442	8280											
1540450848.240227000	74	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	61.220.62.219	44861	80											
1540450848.240764000	102	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113	44861	80			3	0							
1540450848.607783000	77	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1545	53									
1540450848.672198000	67	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450848.674453000	67	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450848.674887000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450848.704980000	60	5c:cf:7f:05:f2:c6	4c:09:d4:c6:12:7b	192.168.2.108	52.24.43.67	17997	80											
1540450848.705505000	86	4c:09:d4:c6:12:7b	5c:cf:7f:05:f2:c6	192.168.2.1	192.168.2.108	17997	80			3	0							
